"timesheet_id","employee_id","date","checkin","checkout"
24819123,38,2019-10-03,"13:57:21",
24819124,38,2019-10-04,"13:39:28","21:01:17"
24819126,38,2019-10-06,"09:32:22","21:33:14"
24819127,38,2019-10-07,"13:45:08","21:26:06"
24819128,38,2019-10-08,"07:45:59","15:02:58"
24819131,38,2019-10-11,"07:49:48","15:07:32"
24819132,38,2019-10-12,"02:00:00","09:00:00"
24819134,38,2019-10-14,"13:42:32","21:08:49"
24819135,38,2019-10-15,"12:03:32","21:04:17"
24819136,38,2019-10-16,"12:20:57","21:06:27"
24819137,38,2019-10-17,"13:28:50","21:05:28"
24819138,38,2019-10-18,"13:30:09","21:01:55"
24819139,38,2019-10-19,"13:48:22","21:00:19"
24819142,38,2019-10-22,"07:50:07","15:10:46"
24819143,38,2019-10-23,"07:47:49","15:04:38"
24819144,38,2019-10-24,"07:49:55","15:04:10"
24819145,38,2019-10-25,"07:43:12","15:08:28"
24819147,38,2019-10-27,"09:31:12","21:16:30"
24819148,38,2019-10-28,"13:48:27","21:02:18"
24819149,38,2019-10-29,"13:49:17","21:19:11"
24819150,38,2019-10-30,"11:47:50","21:02:13"
24819151,38,2019-10-31,"12:59:32","21:30:41"
24819156,39,2019-09-25,,"21:02:27"
24819157,39,2019-09-26,"13:39:41","21:00:44"
24819158,39,2019-09-27,"13:47:48","21:02:20"
24819159,39,2019-09-28,"13:31:35","21:03:23"
24819161,39,2019-09-30,"07:25:30","15:04:22"
24819162,39,2019-10-01,"07:37:46","15:03:00"
24819163,39,2019-10-02,"07:38:35","15:01:38"
24819164,39,2019-10-03,"07:46:09","15:06:49"
24819165,39,2019-10-04,"07:51:09","15:08:26"
24819166,39,2019-10-05,"07:36:47","15:04:05"
24819168,39,2019-10-07,"07:51:00","15:51:00"
24819169,39,2019-10-08,"13:32:32","21:05:49"
24819170,39,2019-10-09,"13:45:33","21:25:27"
24819171,39,2019-10-10,"13:39:40","21:05:36"
24819172,39,2019-10-11,"13:31:39","21:01:41"
24819173,39,2019-10-12,"07:31:17","15:07:00"
24819175,39,2019-10-14,"07:31:24","15:07:27"
24819176,39,2019-10-15,"07:31:37","15:01:11"
24819177,39,2019-10-16,"07:32:27","15:05:36"
24819178,39,2019-10-17,"07:40:35","15:02:03"
24819179,39,2019-10-18,"07:41:42","15:05:15"
24819181,39,2019-10-20,"13:38:06","21:05:26"
24819182,39,2019-10-21,"13:31:47","21:21:27"
24819183,39,2019-10-22,"13:36:05","21:04:07"
24819184,39,2019-10-23,"13:30:23","21:20:22"
24819185,39,2019-10-24,"13:46:28","21:03:26"
24819186,39,2019-10-25,"13:40:12","21:01:02"
24819187,39,2019-10-26,"13:55:33","22:00:23"
24819189,39,2019-10-28,"07:17:23","15:14:42"
24819190,39,2019-10-29,"07:16:48","15:02:41"
24819191,39,2019-10-30,"09:25:00","17:00:00"
24819192,39,2019-10-31,"07:27:40","15:07:24"
24819197,51,2019-09-25,,"17:30:02"
24819198,51,2019-09-26,"07:37:10","17:08:17"
24819199,51,2019-09-27,"07:44:54","17:04:40"
24819202,51,2019-09-30,"08:07:02","17:08:24"
24819203,51,2019-10-01,"07:35:56","17:05:27"
24819204,51,2019-10-02,"07:33:38","17:09:48"
24819205,51,2019-10-03,"07:50:44","17:06:56"
24819206,51,2019-10-04,"07:52:51","17:01:20"
24819209,51,2019-10-07,"07:18:35","17:01:54"
24819210,51,2019-10-08,"07:32:44","17:02:26"
24819211,51,2019-10-09,"07:28:29","18:15:43"
24819212,51,2019-10-10,"07:34:51","17:02:06"
24819213,51,2019-10-11,"07:21:45","17:01:57"
24819217,51,2019-10-15,"07:09:59","17:01:13"
24819218,51,2019-10-16,"07:28:40","17:01:46"
24819219,51,2019-10-17,"07:43:33","17:03:05"
24819220,51,2019-10-18,"07:35:17","17:01:21"
24819223,51,2019-10-21,"07:13:42","17:04:37"
24819224,51,2019-10-22,"07:47:33","17:05:18"
24819225,51,2019-10-23,"07:22:49","17:06:46"
24819226,51,2019-10-24,"07:47:53","17:03:41"
24819227,51,2019-10-25,"07:10:30","17:01:57"
24819230,51,2019-10-28,"07:24:06","17:13:54"
24819231,51,2019-10-29,"07:32:32","17:05:24"
24819232,51,2019-10-30,"07:33:43","17:01:17"
24819233,51,2019-10-31,"07:26:33","17:06:03"
24819238,52,2019-09-25,,"21:15:50"
24819239,52,2019-09-26,"13:20:12","21:09:58"
24819241,52,2019-09-28,"13:25:14","21:10:19"
24819242,52,2019-09-29,"07:06:52","21:08:07"
24819243,52,2019-09-30,"13:40:00","21:48:31"
24819244,52,2019-10-01,"07:44:08","15:03:42"
24819245,52,2019-10-02,"07:38:04","15:11:22"
24819246,52,2019-10-03,"07:47:06","15:03:28"
24819247,52,2019-10-04,"07:54:38","15:30:50"
24819248,52,2019-10-05,"07:38:24","15:06:42"
24819249,52,2019-10-06,"07:29:04","21:32:23"
24819251,52,2019-10-08,"07:48:35","15:02:27"
24819252,52,2019-10-09,"07:30:24","15:19:12"
24819253,52,2019-10-10,"07:43:40","15:11:53"
24819254,52,2019-10-11,"07:23:07","15:14:14"
24819255,52,2019-10-12,"07:31:15","15:08:27"
24819257,52,2019-10-14,"13:07:43","21:09:21"
24819258,52,2019-10-15,"13:36:12","21:15:33"
24819259,52,2019-10-16,"13:28:22","21:21:57"
24819260,52,2019-10-17,"13:23:23","21:09:02"
24819261,52,2019-10-18,"13:34:47","21:13:03"
24819262,52,2019-10-19,"13:27:08","21:20:51"
24819263,52,2019-10-20,"07:03:56","21:30:57"
24819265,52,2019-10-22,"08:09:42","15:15:40"
24819266,52,2019-10-23,"07:40:04","15:19:41"
24819267,52,2019-10-24,"07:38:30","15:15:27"
24819268,52,2019-10-25,,"15:26:26"
24819269,52,2019-10-26,"07:44:08","15:05:38"
24819272,52,2019-10-29,"13:49:03","21:37:49"
24819273,52,2019-10-30,"15:14:37","21:05:26"
24819274,52,2019-10-31,"13:42:35","21:44:20"
24819279,53,2019-09-25,,"15:03:56"
24819280,53,2019-09-26,"07:40:41","15:09:10"
24819281,53,2019-09-27,"07:39:31","15:28:17"
24819282,53,2019-09-28,"07:24:22","15:03:48"
24819285,53,2019-10-01,"13:32:09","22:37:00"
24819286,53,2019-10-02,"13:32:05",
24819287,53,2019-10-03,"13:40:14",
24819288,53,2019-10-04,"13:35:49","21:07:35"
24819289,53,2019-10-05,"13:39:36","21:20:13"
24819291,53,2019-10-07,"13:38:26","21:35:03"
24819292,53,2019-10-08,"13:39:07","21:11:19"
24819293,53,2019-10-09,"13:30:10","21:30:49"
24819294,53,2019-10-10,"13:26:46",
24819295,53,2019-10-11,"01:30:00","21:20:00"
24819296,53,2019-10-12,"13:51:12","21:04:32"
24819297,53,2019-10-13,"06:55:32","21:05:14"
24819299,53,2019-10-15,"07:37:00","03:15:00"
24819300,53,2019-10-16,"07:44:26","15:07:29"
24819301,53,2019-10-17,"07:40:51","15:06:12"
24819302,53,2019-10-18,"07:42:11","15:02:43"
24819303,53,2019-10-19,"07:36:52","15:02:37"
24819307,53,2019-10-23,"13:25:26","21:09:07"
24819308,53,2019-10-24,"13:35:18","21:12:24"
24819309,53,2019-10-25,"13:24:45","21:08:40"
24819310,53,2019-10-26,"13:45:22","21:51:20"
24819311,53,2019-10-27,"07:25:01","21:01:19"
24819313,53,2019-10-29,"07:39:28","15:01:29"
24819314,53,2019-10-30,"07:51:20","15:27:26"
24819315,53,2019-10-31,"07:35:41","15:03:23"
24819320,55,2019-09-25,,"21:01:50"
24819321,55,2019-09-26,"13:58:32","21:00:29"
24819322,55,2019-09-27,"13:31:21","21:07:27"
24819323,55,2019-09-28,"07:55:55","15:10:18"
24819325,55,2019-09-30,"08:08:10","15:04:09"
24819326,55,2019-10-01,"07:53:41","15:03:14"
24819327,55,2019-10-02,"08:17:23","15:04:45"
24819328,55,2019-10-03,"07:51:57","15:07:27"
24819329,55,2019-10-04,"08:10:41","15:11:14"
24819330,55,2019-10-05,"13:57:38","21:02:09"
24819332,55,2019-10-07,"14:19:04","21:32:27"
24819333,55,2019-10-08,"13:30:15","21:03:35"
24819334,55,2019-10-09,"13:57:16","21:25:10"
24819335,55,2019-10-10,"13:55:56","21:03:43"
24819336,55,2019-10-11,"13:08:51","21:01:05"
24819337,55,2019-10-12,"13:50:13","21:02:54"
24819338,55,2019-10-13,"11:21:05","21:01:45"
24819340,55,2019-10-15,"07:55:27","15:01:17"
24819341,55,2019-10-16,"07:54:10","15:04:38"
24819342,55,2019-10-17,"07:54:15","15:01:30"
24819343,55,2019-10-18,"07:57:40","15:05:31"
24819344,55,2019-10-19,"07:56:46","15:03:26"
24819346,55,2019-10-21,"12:47:21","21:19:46"
24819347,55,2019-10-22,"12:44:26","21:04:08"
24819348,55,2019-10-23,"13:29:48","21:15:47"
24819349,55,2019-10-24,"13:19:33","21:02:16"
24819350,55,2019-10-25,"13:01:27","21:00:33"
24819351,55,2019-10-26,"07:55:17","15:08:07"
24819353,55,2019-10-28,"10:00:00","17:00:00"
24819354,55,2019-10-29,"09:30:00","17:00:00"
24819355,55,2019-10-30,"13:07:26","21:00:56"
24819356,55,2019-10-31,"07:38:58","15:03:19"
24819361,56,2019-09-25,,"21:02:13"
24819362,56,2019-09-26,"13:41:21","21:00:29"
24819363,56,2019-09-27,"13:50:35","21:02:02"
24819365,56,2019-09-29,"13:56:24","21:00:51"
24819366,56,2019-09-30,"07:41:52",
24819367,56,2019-10-01,"07:56:16","15:02:56"
24819368,56,2019-10-02,"07:51:29",
24819369,56,2019-10-03,"07:46:51","15:17:07"
24819370,56,2019-10-04,"07:53:47","15:06:56"
24819371,56,2019-10-05,,"17:01:29"
24819373,56,2019-10-07,"13:45:15","21:30:05"
24819374,56,2019-10-08,"13:42:19","21:03:45"
24819375,56,2019-10-09,"13:51:03","21:23:36"
24819376,56,2019-10-10,"13:37:21",
24819377,56,2019-10-11,"13:53:13","21:02:56"
24819380,56,2019-10-14,"07:52:46","15:13:21"
24819381,56,2019-10-15,"13:55:21","21:03:36"
24819382,56,2019-10-16,"13:45:50","21:03:17"
24819383,56,2019-10-17,"13:52:08","21:04:11"
24819384,56,2019-10-18,"13:31:11","21:05:28"
24819385,56,2019-10-19,"13:56:55","21:02:29"
24819386,56,2019-10-20,"13:47:28","21:03:35"
24819390,56,2019-10-24,"13:35:04","21:03:04"
24819391,56,2019-10-25,"13:41:25","21:02:01"
24819392,56,2019-10-26,"13:46:40","21:46:57"
24819393,56,2019-10-27,,"21:13:28"
24819394,56,2019-10-28,"07:51:00","15:00:35"
24819395,56,2019-10-29,"07:41:27","15:06:02"
24819396,56,2019-10-30,"07:48:50","15:02:08"
24819397,56,2019-10-31,"07:37:00","15:04:46"
24819402,57,2019-09-25,,"21:01:55"
24819403,57,2019-09-26,"13:32:06","21:00:30"
24819404,57,2019-09-27,"13:33:30","21:02:07"
24819405,57,2019-09-28,"13:40:01","21:02:49"
24819407,57,2019-09-30,"13:27:04","21:45:14"
24819408,57,2019-10-01,"13:30:30","22:27:55"
24819409,57,2019-10-02,"14:02:46","21:02:22"
24819410,57,2019-10-03,"13:42:18","21:02:23"
24819411,57,2019-10-04,"13:28:55","21:02:00"
24819412,57,2019-10-05,"07:37:15","15:03:53"
24819413,57,2019-10-06,"09:33:10","21:04:25"
24819415,57,2019-10-08,"13:50:33","21:04:43"
24819417,57,2019-10-10,"13:44:04","21:04:23"
24819418,57,2019-10-11,"13:47:07","21:01:53"
24819419,57,2019-10-12,"13:39:09","21:00:58"
24819420,57,2019-10-13,"06:52:53","21:00:51"
24819422,57,2019-10-15,"07:50:10","15:02:43"
24819423,57,2019-10-16,"07:44:20","15:18:23"
24819424,57,2019-10-17,"07:41:22","15:02:40"
24819425,57,2019-10-18,"07:50:54","15:08:14"
24819426,57,2019-10-19,"07:53:26","15:06:16"
24819428,57,2019-10-21,"13:32:10","21:17:19"
24819429,57,2019-10-22,"13:50:21","21:04:19"
24819430,57,2019-10-23,"13:21:10","21:12:04"
24819431,57,2019-10-24,"13:28:26","21:01:57"
24819432,57,2019-10-25,"13:31:13","21:00:48"
24819433,57,2019-10-26,"12:34:41","21:45:29"
24819435,57,2019-10-28,"10:00:00","17:00:00"
24819436,57,2019-10-29,"10:00:00","17:00:00"
24819437,57,2019-10-30,"13:33:54","21:00:40"
24819438,57,2019-10-31,"13:38:00","21:21:01"
24819443,58,2019-09-25,,"15:07:25"
24819444,58,2019-09-26,"07:46:28","15:01:41"
24819445,58,2019-09-27,"07:47:14","15:06:59"
24819446,58,2019-09-28,"09:32:48","17:05:33"
24819448,58,2019-09-30,"13:30:12","21:46:45"
24819449,58,2019-10-01,"13:43:04","22:27:57"
24819450,58,2019-10-02,"13:40:50","21:01:28"
24819451,58,2019-10-03,"13:45:04","21:03:00"
24819452,58,2019-10-04,"13:35:09","21:04:34"
24819453,58,2019-10-05,"13:45:11",
24819455,58,2019-10-07,"07:53:00","15:05:23"
24819456,58,2019-10-08,"07:50:22","15:03:54"
24819457,58,2019-10-09,"07:43:58","15:16:59"
24819458,58,2019-10-10,"07:44:39","15:11:50"
24819459,58,2019-10-11,"07:47:58","15:08:44"
24819460,58,2019-10-12,"09:41:30","17:04:33"
24819462,58,2019-10-14,"12:21:29","21:04:20"
24819463,58,2019-10-15,"13:47:57","21:02:50"
24819464,58,2019-10-16,"13:40:27","21:04:29"
24819465,58,2019-10-17,"13:36:03","21:03:39"
24819466,58,2019-10-18,"13:42:32","21:02:01"
24819467,58,2019-10-19,"09:38:52","17:01:12"
24819469,58,2019-10-21,"07:35:02","15:04:35"
24819470,58,2019-10-22,"07:48:32","15:08:43"
24819471,58,2019-10-23,"07:53:34","15:24:26"
24819472,58,2019-10-24,"07:47:18","15:43:27"
24819473,58,2019-10-25,"07:46:46","15:04:58"
24819474,58,2019-10-26,"09:44:38","17:04:44"
24819476,58,2019-10-28,"13:49:41","21:02:05"
24819477,58,2019-10-29,"08:00:00","03:00:00"
24819478,58,2019-10-30,"07:56:29","15:02:47"
24819479,58,2019-10-31,"13:28:21","21:30:32"
24819726,34,2019-09-26,"13:12:47","21:14:48"
24819727,34,2019-09-27,"13:14:00","21:19:24"
24819728,34,2019-09-28,"13:12:14","21:12:35"
24819730,34,2019-09-30,"05:50:02","15:14:42"
24819731,34,2019-10-01,"06:25:54","15:07:34"
24819732,34,2019-10-02,"05:47:49","15:12:48"
24819733,34,2019-10-03,"05:41:49","15:16:03"
24819734,34,2019-10-04,"05:44:44","15:02:57"
24819735,34,2019-10-05,"06:05:19","15:10:46"
24819737,34,2019-10-07,"05:48:53","15:06:30"
24819738,34,2019-10-08,"05:48:18","15:10:38"
24819739,34,2019-10-09,"05:45:58","15:19:48"
24819740,34,2019-10-10,"05:48:30","15:20:58"
24819741,34,2019-10-11,"05:46:19","15:02:19"
24819743,34,2019-10-13,"07:29:12","21:10:59"
24819744,34,2019-10-14,"12:54:12","21:38:01"
24819745,34,2019-10-15,"12:58:21","21:16:59"
24819746,34,2019-10-16,"13:13:09","21:05:49"
24819747,34,2019-10-17,"13:10:27","21:09:38"
24819748,34,2019-10-18,"13:21:20","21:11:02"
24819749,34,2019-10-19,"13:04:57","21:09:14"
24819751,34,2019-10-21,"05:18:02","15:21:11"
24819752,34,2019-10-22,"05:28:59","15:04:33"
24819753,34,2019-10-23,"05:39:32","15:10:07"
24819754,34,2019-10-24,"05:34:35","15:14:07"
24819755,34,2019-10-25,"05:37:36","15:11:50"
24819757,34,2019-10-27,"07:46:00","21:14:00"
24819758,34,2019-10-28,"13:04:51","21:29:38"
24819759,34,2019-10-29,"13:00:58","21:12:29"
24819760,34,2019-10-30,"13:08:28","21:06:49"
24819761,34,2019-10-31,"13:07:50","21:56:18"
24819767,35,2019-09-26,,"17:01:56"
24819768,35,2019-09-27,"08:02:33","15:11:18"
24819769,35,2019-09-28,"07:49:44","15:01:46"
24819771,35,2019-09-30,"09:49:54","17:01:28"
24819772,35,2019-10-01,"10:02:10","17:14:02"
24819773,35,2019-10-02,"09:56:04","17:08:39"
24819774,35,2019-10-03,"09:57:55","17:22:44"
24819775,35,2019-10-04,"07:39:54","15:01:04"
24819776,35,2019-10-05,"07:53:33","15:07:00"
24819780,35,2019-10-09,"09:54:49","17:13:18"
24819781,35,2019-10-10,"09:52:32","17:01:56"
24819782,35,2019-10-11,"09:57:05","17:09:13"
24819783,35,2019-10-12,"07:55:26","15:01:14"
24819784,35,2019-10-13,"09:45:12","17:05:13"
24819785,35,2019-10-14,"09:59:17","17:05:54"
24819786,35,2019-10-15,"09:53:37","17:05:16"
24819787,35,2019-10-16,"09:57:18","17:23:41"
24819788,35,2019-10-17,"09:56:32","17:02:51"
24819789,35,2019-10-18,"07:56:15","15:06:29"
24819790,35,2019-10-19,"07:54:53","15:03:16"
24819792,35,2019-10-21,"10:03:42","17:03:12"
24819793,35,2019-10-22,"10:01:01","17:12:15"
24819794,35,2019-10-23,"09:53:04","17:21:57"
24819795,35,2019-10-24,"10:06:39","17:13:40"
24819796,35,2019-10-25,"07:55:14","15:35:27"
24819797,35,2019-10-26,"07:53:30","15:16:21"
24819799,35,2019-10-28,"07:59:16","15:07:22"
24819800,35,2019-10-29,"07:54:20","15:19:00"
24819801,35,2019-10-30,"07:53:59","15:03:01"
24819802,35,2019-10-31,"09:56:44","17:04:51"
24819805,36,2019-09-25,,"15:22:18"
24819809,36,2019-09-29,"08:34:54","21:25:10"
24819810,36,2019-09-30,"13:08:48","21:16:23"
24819811,36,2019-10-01,"13:13:56","21:10:44"
24819812,36,2019-10-02,"13:14:15","22:05:30"
24819813,36,2019-10-03,"13:19:14","21:47:07"
24819814,36,2019-10-04,"13:47:16","21:58:30"
24819815,36,2019-10-05,"13:15:37","21:53:23"
24819817,36,2019-10-07,"07:33:00","15:00:00"
24819819,36,2019-10-09,"06:08:51","15:19:25"
24819820,36,2019-10-10,"05:55:24","15:07:47"
24819821,36,2019-10-11,"06:03:50","15:09:08"
24819822,36,2019-10-12,"06:08:02","15:26:51"
24819824,36,2019-10-14,"06:20:59","15:31:19"
24819825,36,2019-10-15,"05:54:27","15:03:45"
24819826,36,2019-10-16,"05:54:00","15:14:45"
24819827,36,2019-10-17,"05:53:18","15:07:41"
24819828,36,2019-10-18,"05:49:40",
24819830,36,2019-10-20,"08:21:36",
24819831,36,2019-10-21,"12:58:42","22:04:15"
24819832,36,2019-10-22,"13:10:25","21:13:30"
24819833,36,2019-10-23,"13:15:13","21:28:47"
24819834,36,2019-10-24,"13:04:17","21:01:47"
24819835,36,2019-10-25,"13:24:18","21:01:45"
24819836,36,2019-10-26,"13:27:01","21:08:36"
24819838,36,2019-10-28,"05:55:08","15:16:32"
24819839,36,2019-10-29,"06:00:00","16:12:00"
24819846,37,2019-09-25,,"15:22:41"
24819847,37,2019-09-26,"05:30:21","15:26:39"
24819848,37,2019-09-27,"05:24:22","15:18:40"
24819849,37,2019-09-28,"05:31:49","15:13:51"
24819851,37,2019-09-30,"07:10:00","03:10:00"
24819852,37,2019-10-01,"06:07:03","15:24:51"
24819853,37,2019-10-02,"05:30:53","15:12:22"
24819854,37,2019-10-03,"05:23:19","15:14:20"
24819855,37,2019-10-04,"05:26:43","15:09:51"
24819857,37,2019-10-06,"06:45:39","21:51:48"
24819858,37,2019-10-07,"12:54:27","22:02:07"
24819859,37,2019-10-08,"12:43:15","22:21:08"
24819860,37,2019-10-09,"12:46:10","21:42:47"
24819861,37,2019-10-10,"13:22:59","21:32:06"
24819862,37,2019-10-11,"13:18:49","21:48:53"
24819863,37,2019-10-12,"13:02:18","22:13:05"
24819865,37,2019-10-14,"06:30:00","15:30:00"
24819866,37,2019-10-15,"05:40:36","15:18:48"
24819867,37,2019-10-16,"05:36:15","15:38:10"
24819868,37,2019-10-17,"05:36:00","15:15:53"
24819869,37,2019-10-18,"05:42:29","15:20:19"
24819870,37,2019-10-19,"05:37:30","15:42:45"
24819872,37,2019-10-21,"07:08:00","03:08:00"
24819873,37,2019-10-22,"05:16:19","15:44:11"
24819874,37,2019-10-23,"05:19:17","15:11:28"
24819875,37,2019-10-24,"05:19:06","15:10:43"
24819876,37,2019-10-25,"05:29:29","15:08:21"
24819877,37,2019-10-26,"05:13:54","15:10:00"
24819881,37,2019-10-30,"05:15:09","15:25:16"
24819882,37,2019-10-31,"05:10:59","15:30:37"
24819887,40,2019-09-25,,"17:39:14"
24819888,40,2019-09-26,"07:46:43","17:06:06"
24819892,40,2019-09-30,"07:37:00","17:04:00"
24819893,40,2019-10-01,"07:46:11","17:07:06"
24819894,40,2019-10-02,"07:41:24","17:01:45"
24819895,40,2019-10-03,"07:46:41",
24819896,40,2019-10-04,"07:42:02","19:38:20"
24819899,40,2019-10-07,"07:38:25","18:10:52"
24819900,40,2019-10-08,"07:40:51","17:04:14"
