"employe_id","branch_id","salary","join_date","resign_date"
90,2635,12500000,2019-08-05,2019-12-20
91,2634,10000000,2018-04-01,2020-05-20
92,2631,12000000,2018-11-05,
93,12722,7000000,2020-08-03,
94,2625,8500000,2018-08-06,
95,2625,12500000,2018-09-03,
96,2625,12500000,2019-04-11,
97,2633,12000000,2018-10-08,
98,2630,14500000,2018-11-06,
99,2629,9500000,2019-02-05,
100,2631,9000000,2019-04-26,
101,2626,10000000,2016-08-22,2020-12-03
102,2631,6000000,2018-11-12,
103,2633,9500000,2019-04-04,
104,2626,6500000,2019-04-12,
105,2631,7000000,2019-03-25,
9876,1,5000000,2019-09-02,
9895,1,7000000,2019-09-02,
9896,1,6000000,2019-09-09,
9897,1,10000000,2019-09-09,2020-02-20
9898,1,11000000,2019-09-11,
9899,1,6000000,2019-09-16,
9900,1,8000000,2019-09-16,
9901,3,10500000,2019-09-02,2020-02-20
9902,2633,12500000,2019-08-28,
9908,2629,10000000,2019-09-02,
10194,2,9500000,2018-11-01,
10195,3,13500000,2019-08-22,2019-09-10
10196,3,6000000,2019-08-22,2019-10-20
15132,1,9000000,2019-10-07,
15142,1,11500000,2019-09-30,
15729,3092,5500000,2019-10-07,
15731,3092,10000000,2019-10-07,
15735,3092,6000000,2019-10-07,
19581,2626,9000000,2019-09-23,
21794,3092,7500000,2019-10-12,2019-11-27
21798,3092,7500000,2019-10-12,
24347,2626,14500000,2019-10-21,
26612,1,9000000,2019-10-21,
26622,3,5000000,2019-10-21,
26628,3092,12000000,2019-11-04,
26631,3092,9000000,2019-11-04,
26648,3092,13000000,2019-11-04,
28496,2629,12000000,2019-10-28,2020-02-20
28754,1,11500000,2019-10-28,
28763,1,5500000,2019-10-28,
33936,3092,7500000,2019-11-04,
34514,2633,14500000,2019-11-01,
37659,2633,14000000,2019-11-07,
48508,3,12500000,2019-11-26,
49616,3092,10000000,2019-11-28,
51311,1,7500000,2019-12-02,
53191,2635,6000000,2019-12-05,
57649,1,5500000,2019-12-09,
58130,1,12500000,2019-12-09,
109055,1,6000000,2020-02-12,
109100,2,14000000,2020-02-11,
111654,1,9000000,2020-02-13,
116539,3,9000000,2020-02-21,2020-04-20
117041,2629,14500000,2020-02-21,
124826,1,8500000,2020-03-02,
124906,1,9000000,2020-03-02,
129001,2625,6000000,2020-03-09,
135834,2590,10000000,2020-03-18,
151191,1,13000000,2020-04-09,
151407,1,10000000,2020-04-13,
152949,2623,11000000,2020-04-15,
173827,1,8000000,2020-06-02,
173891,2630,7000000,2020-06-01,
174070,2,5500000,2020-06-02,
187366,2623,11500000,2020-06-21,
191274,2623,12500000,2020-06-25,
194080,1,12500000,2020-07-01,2020-10-27
194422,2623,12000000,2020-06-25,
196431,2623,7000000,2020-07-06,
201506,2,9000000,2020-07-13,
205227,2590,10000000,2020-07-18,
208682,1,7000000,2020-07-22,
213714,3,6000000,2020-08-03,
218078,1,10500000,2020-08-03,2020-11-28
218078,1,13000000,2020-08-03,2020-11-28
232954,1,6000000,2020-07-27,
251119,11265,11000000,2020-08-30,
251171,2623,5000000,2020-08-24,
259276,1,10000000,2020-09-07,2020-12-07
285438,1,11000000,2020-10-14,
285454,1,8000000,2020-10-14,
285511,1,9500000,2020-10-14,
311335,1,13500000,2020-11-16,
325787,1,12500000,2020-12-03,
329501,1,13000000,2020-12-07,
331374,2629,6000000,2020-12-07,
340184,1,11500000,2020-12-18,
